Restore Status,Device ID,User ID,Restore Size,Restore Start,Restore Complete,Number of Files,System Settings Restored,Restore Type
Restore done with errors: [Error 32] The process cannot access the file because it is being used by another process: u'\\\\?\\C:\\Users\\cpatt1\\AppData\\Local\\Adobe\\OOBE\\opm.db',3399523,2544124,1499.93,02/28/20 19:18,02/28/20 20:07,42471,No,Self
Restore done,3399523,2544124,30541.71,02/28/20 22:16,02/28/20 22:51,84099,No,Self
Restore done with errors: [Error 32] The process cannot access the file because it is being used by another process: u'\\\\?\\C:\\Users\\shodges\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\Login Data',1274639,1089175,12514.96,02/29/20 06:02,02/29/20 07:52,89587,No,Self
Restore done,1274639,1089175,0.00,02/29/20 07:52,02/29/20 07:52,0,No,Self
Restore done,2551631,1958716,37.51,03/01/20 23:58,03/01/20 23:58,59,No,Web
Restore done,2551631,1958716,4.26,03/01/20 23:59,03/02/20 00:00,61,No,Web
Restore done,2551631,1958716,0.59,03/02/20 00:18,03/02/20 00:18,1,No,Web
Restore done,3399523,2544124,30541.71,03/02/20 15:06,03/02/20 16:02,84099,No,Self
Restore done,1512569,1243361,1691.34,03/02/20 20:03,03/02/20 20:25,14148,No,Admin
Restore done,1936087,1243361,123.32,03/02/20 20:09,03/02/20 20:10,974,No,Admin
Restore done,1612031,240554,14489.89,03/03/20 21:31,03/03/20 23:38,89614,No,Self
Restore done,1612031,240554,0.00,03/03/20 23:38,03/03/20 23:38,0,No,Self
Restore done,1612031,240554,0.00,03/03/20 23:38,03/03/20 23:38,0,No,Self
Cancelled,916494,435182,0.00,03/04/20 04:01,04/04/20 00:15,0,No,Self
Restore done,916494,435182,17.42,03/04/20 14:12,03/04/20 14:12,92,No,Self
Restore done,789636,668678,20120.07,03/04/20 17:05,03/04/20 17:49,219317,No,Self
Restore done,1612031,240554,797.29,03/04/20 20:28,03/04/20 20:39,255,No,Self
Restore done,916494,435182,1.36,03/05/20 17:17,03/05/20 17:17,1,No,Self
Restore done,1233522,1058926,4653.56,03/06/20 15:04,03/06/20 15:19,44759,No,Self
Restore done,1233522,1058926,0.00,03/06/20 15:20,03/06/20 15:20,0,No,Self
Restore done with errors: [Error 32] The process cannot access the file because it is being used by another process: u'\\\\?\\C:\\Users\\mbell1\\AppData\\Local\\Comms\\UnistoreDB\\tmp.edb',1233522,1058926,4471.41,03/06/20 20:09,03/06/20 21:27,44217,No,Self
Restore done,1233522,1058926,0.00,03/06/20 21:27,03/06/20 21:27,0,No,Self
Restore done,1950332,1645082,4.28,03/09/20 17:52,03/09/20 17:52,2,No,Web
Restore done with errors: [Error 32] The process cannot access the file because it is being used by another process: u'\\\\?\\C:\\Users\\nbryditzki\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\Login Data',1398479,379273,10436.98,03/09/20 22:17,03/10/20 00:35,102220,No,Self
Restore done,1398479,379273,10436.98,03/10/20 00:35,03/10/20 02:08,102322,No,Self
Restore done,1398479,379273,0.00,03/10/20 02:08,03/10/20 02:08,0,No,Self
Restore done,916494,435182,0.05,03/10/20 15:47,03/10/20 15:47,1,No,Self
Restore done with errors: [Error 32] The process cannot access the file because it is being used by another process: u'\\\\?\\C:\\Users\\katelyn4606\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\Cookies',3390730,2539358,1682.93,03/11/20 14:11,03/11/20 14:29,7346,No,Self
Cancelled,1515147,1243377,0.00,03/12/20 15:51,03/12/20 15:51,0,No,Self
Cancelled,1515147,1243377,0.00,03/12/20 15:51,03/12/20 15:53,0,No,Self
Restore done,1515147,1243377,20865.03,03/12/20 15:53,03/12/20 18:26,22597,No,Self
Restore done,1793546,1413847,0.00,03/16/20 21:16,03/16/20 21:16,0,No,Self
Cancelled,1793546,1413847,24035.07,03/17/20 02:26,03/17/20 02:57,35703,No,Self
Restore done,1793546,1413847,0.00,03/17/20 02:40,03/17/20 02:40,0,No,Self
Restore done with errors: Error -3 while decompressing data: incorrect header check,1793546,1413847,1212.46,03/17/20 02:52,03/17/20 03:10,18456,No,Self
Restore done,1740913,237185,10234.43,03/17/20 19:40,03/17/20 20:07,133,No,Self
Restore done,265693,240554,0.00,03/17/20 22:33,03/17/20 22:34,0,No,Self
Restore done with errors: [Error 32] The process cannot access the file because it is being used by another process: u'\\\\?\\C:\\Users\\aarevalo\\AppData\\Local\\Comms\\UnistoreDB\\USStmp.jtx',265693,240554,17586.87,03/18/20 00:31,03/18/20 02:51,99583,No,Self
Restore done,3336906,722266,8190.12,03/19/20 16:28,03/19/20 18:39,232197,No,Self
Restore done,4084125,163684,10488.41,03/20/20 16:58,03/20/20 18:02,28490,No,Self
Restore done,1122523,163684,31225.19,03/20/20 20:24,03/20/20 22:55,242305,No,Self
Cancelled,1274639,1089175,0.00,03/24/20 03:13,03/24/20 03:13,0,No,Self
Restore done,1274639,1089175,4772.26,03/24/20 03:14,03/24/20 03:35,1714,No,Web
Restore done,1548643,1275194,0.00,03/24/20 09:38,03/24/20 09:38,0,No,Self
Restore done with errors: [Error 32] The process cannot access the file because it is being used by another process: u'\\\\?\\C:\\Users\\lstaplefordalle\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\Cookies',1548643,1275194,1501.14,03/24/20 09:38,03/24/20 10:03,14611,No,Self
Restore failed with error: User does not have write permissions on the restore path,1548643,1275194,0.00,03/24/20 10:04,03/24/20 10:04,0,No,Self
Restore done,779205,245292,761.70,03/24/20 18:39,03/24/20 18:50,6407,No,Web
Restore done,779205,245292,510.69,03/24/20 18:52,03/24/20 18:53,55,No,Web
Restore done,2537517,245823,0.06,04/03/20 17:09,04/03/20 17:09,5,No,Self
Restore done,2537517,245823,0.06,04/03/20 17:22,04/03/20 17:22,5,No,Self
Restore done,2537517,245823,0.06,04/03/20 17:53,04/03/20 17:53,5,No,Self
Restore done,2537517,245823,0.06,04/03/20 18:00,04/03/20 18:00,5,No,Self
Restore done,2537517,245823,0.06,04/03/20 18:01,04/03/20 18:01,5,No,Self
Restore done,2537517,245823,0.27,04/03/20 18:05,04/03/20 18:06,19,No,Self
Restore done,3137749,707596,331.73,04/08/20 19:25,04/08/20 19:28,3951,Yes,Self
Restore done,3137749,707596,259079.89,04/09/20 20:46,04/10/20 11:33,595359,No,Self
Connection dropped before completing restore.,4042639,615934,0.00,04/16/20 20:00,04/16/20 20:01,0,No,Web
