Device ID,First Backup Status,First Backup Size,System Settings Backup,Time Taken,OS Platform,Device OS,User ID
1541873,Complete,63.07,Not Backed Up,0:02,Windows,Win 10,142917
1541826,Complete,140.25,Not Backed Up,0:02,Windows,Win 10,199557
1541628,Complete,90674.34,Not Backed Up,26:09,Windows,Win 10,424601
1540032,Complete,130.46,Not Backed Up,0:11,Windows,Win 7,235539
1539529,Complete,46.01,Not Backed Up,0:02,Windows,Win 10,197472
1539524,Complete,132.78,Not Backed Up,0:02,Windows,Win 10,197472
1539151,Complete,11.96,Not Backed Up,0:00,Mac OS X,Mojave,195035
1538992,Complete,134.87,Not Backed Up,0:02,Windows,Win 10,196965
1538394,Complete,122.57,Not Backed Up,0:03,Windows,Win 10,718961
1536516,Complete,144.19,Not Backed Up,0:02,Windows,Win 10,245546
1530027,Complete,365.59,Not Backed Up,0:23,Windows,Win 10,241860
1527950,Complete,70.04,Not Backed Up,0:00,Mac OS X,Sierra,1256500
1526961,Complete,128.54,Not Backed Up,0:03,Windows,Win 10,658192
1526909,Complete,133.51,Not Backed Up,0:03,Windows,Win 10,1252461
1526866,Complete,132.86,Not Backed Up,0:03,Windows,Win 10,1252445
1519408,Complete,9.27,Not Backed Up,0:00,Mac OS X,Mojave,249235
1518937,Complete,129.98,Not Backed Up,0:03,Windows,Win 10,371543
1518509,Complete,150.51,Not Backed Up,2:13,Windows,Win 10,237338
1517494,Complete,137.45,Not Backed Up,0:01,Windows,Win 10,238861
1516373,Complete,137.07,Not Backed Up,0:03,Windows,Win 7,1104350
1515773,Complete,4.53,Not Backed Up,0:00,Mac OS X,Mojave,203218
1515609,Complete,157.09,Not Backed Up,0:02,Windows,Win 10,267717
1515147,Complete,17877.24,Not Backed Up,1:40,Mac OS X,Catalina,1243377
1515060,Complete,47758.54,Not Backed Up,66:34,Mac OS X,High Sierra,1243580
1512569,Complete,153.09,Not Backed Up,0:08,Windows,Win 10,1243361
1510556,Complete,120.39,Not Backed Up,0:20,Windows,Win 10,269109
1510028,Complete,138.38,Not Backed Up,0:02,Windows,Win 10,1240320
1509468,Complete,157.48,Not Backed Up,0:04,Windows,Win 10,1240085
1509465,Complete,126.35,Not Backed Up,0:02,Windows,Win 10,1240084
1507281,Complete,153.54,Not Backed Up,0:02,Windows,Win 10,589512
1504177,Complete,39.42,Not Backed Up,0:00,Mac OS X,Catalina,186162
1503874,Complete,35.00,Not Backed Up,0:01,Mac OS X,Mojave,1236737
1503867,Complete,3055.96,Not Backed Up,0:17,Windows,Win 10,238260
1501157,Complete,2516.95,Not Backed Up,0:18,Mac OS X,Catalina,245733
1499411,Complete,129.35,Not Backed Up,0:02,Windows,Win 10,237348
1499269,Complete,296.12,Not Backed Up,0:19,Windows,Win 10,721813
1498787,Complete,166.39,Not Backed Up,0:49,Windows,Win 10,242372
1496535,Complete,1.86,Not Backed Up,0:00,Mac OS X,Catalina,1233675
1495768,Complete,1.93,Not Backed Up,0:00,Mac OS X,Catalina,237890
1495389,Complete,172.01,Not Backed Up,0:03,Windows,Win 10,1233328
1492614,Complete,6133.86,Not Backed Up,1:01,Windows,Win 10,151584
1491780,Complete,431.82,Not Backed Up,0:31,Windows,Win 10,245470
1488985,Complete,134.45,Not Backed Up,0:02,Windows,Win 10,245426
1488553,Complete,33331.43,Not Backed Up,26:48,Mac OS X,Catalina,1230267
1488439,Complete,129.57,Not Backed Up,0:02,Mac OS X,Mojave,809130
1480863,Complete,127.63,Not Backed Up,0:02,Windows,Win 10,724777
1480595,Complete,124.17,Not Backed Up,0:02,Windows,Win 10,237682
1480022,Complete,153.44,Not Backed Up,0:03,Windows,Win 10,247962
